"20","2013-01-20","0000-00-00 06:14:00","0000-00-00 06:35:00","0000-00-00 12:48:00","0000-00-00 14:00:00","0000-00-00 15:35:00","0000-00-00 16:30:00","0000-00-00 17:54:00","2 Min","0000-00-00 19:07:00","0000-00-00 19:45:00","0000-00-00 07:41:00"
"21","2013-01-21","0000-00-00 06:14:00","0000-00-00 06:35:00","0000-00-00 12:48:00","0000-00-00 14:00:00","0000-00-00 15:36:00","0000-00-00 16:30:00","0000-00-00 17:55:00","2 Min","0000-00-00 19:08:00","0000-00-00 19:45:00","0000-00-00 07:41:00"
"22","2013-01-22","0000-00-00 06:13:00","0000-00-00 06:35:00","0000-00-00 12:49:00","0000-00-00 14:00:00","0000-00-00 15:37:00","0000-00-00 16:30:00","0000-00-00 17:57:00","2 Min","0000-00-00 19:10:00","0000-00-00 19:45:00","0000-00-00 07:40:00"
"23","2013-01-23","0000-00-00 06:13:00","0000-00-00 06:35:00","0000-00-00 12:49:00","0000-00-00 14:00:00","0000-00-00 15:38:00","0000-00-00 16:30:00","0000-00-00 17:58:00","2 Min","0000-00-00 19:10:00","0000-00-00 19:45:00","0000-00-00 07:40:00"
"24","2013-01-24","0000-00-00 06:13:00","0000-00-00 06:35:00","0000-00-00 12:50:00","0000-00-00 14:00:00","0000-00-00 15:39:00","0000-00-00 16:30:00","0000-00-00 17:59:00","2 Min","0000-00-00 19:11:00","0000-00-00 19:45:00","0000-00-00 07:39:00"
"25","2013-01-25","0000-00-00 06:12:00","0000-00-00 06:35:00","0000-00-00 12:50:00","0000-00-00 14:00:00","0000-00-00 15:40:00","0000-00-00 16:30:00","0000-00-00 18:00:00","2 Min","0000-00-00 19:12:00","0000-00-00 19:45:00","0000-00-00 07:39:00"
"26","2013-01-26","0000-00-00 06:12:00","0000-00-00 06:35:00","0000-00-00 12:50:00","0000-00-00 14:00:00","0000-00-00 15:41:00","0000-00-00 16:30:00","0000-00-00 18:01:00","2 Min","0000-00-00 19:13:00","0000-00-00 19:45:00","0000-00-00 07:38:00"
"27","2013-01-27","0000-00-00 06:11:00","0000-00-00 06:35:00","0000-00-00 12:50:00","0000-00-00 14:00:00","0000-00-00 15:42:00","0000-00-00 16:30:00","0000-00-00 18:02:00","2 Min","0000-00-00 19:14:00","0000-00-00 19:45:00","0000-00-00 07:38:00"
"28","2013-01-28","0000-00-00 06:11:00","0000-00-00 06:35:00","0000-00-00 12:50:00","0000-00-00 14:00:00","0000-00-00 15:42:00","0000-00-00 16:30:00","0000-00-00 18:02:00","2 Min","0000-00-00 19:14:00","0000-00-00 19:45:00","0000-00-00 07:38:00"
"29","2013-01-29","0000-00-00 06:10:00","0000-00-00 06:35:00","0000-00-00 12:51:00","0000-00-00 14:00:00","0000-00-00 15:43:00","0000-00-00 16:30:00","0000-00-00 18:04:00","2 Min","0000-00-00 19:16:00","0000-00-00 19:45:00","0000-00-00 07:37:00"
"30","2013-01-30","0000-00-00 06:10:00","0000-00-00 06:35:00","0000-00-00 12:51:00","0000-00-00 14:00:00","0000-00-00 15:44:00","0000-00-00 16:30:00","0000-00-00 18:05:00","2 Min","0000-00-00 19:17:00","0000-00-00 19:45:00","0000-00-00 07:36:00"
"31","2013-01-31","0000-00-00 06:09:00","0000-00-00 06:35:00","0000-00-00 12:51:00","0000-00-00 14:00:00","0000-00-00 15:45:00","0000-00-00 16:30:00","0000-00-00 18:06:00","2 Min","0000-00-00 19:17:00","0000-00-00 19:45:00","0000-00-00 07:35:00"
"32","2013-02-01","0000-00-00 06:09:00","0000-00-00 06:30:00","0000-00-00 12:51:00","0000-00-00 14:00:00","0000-00-00 15:46:00","0000-00-00 16:45:00","0000-00-00 18:07:00","2 Min","0000-00-00 19:18:00","0000-00-00 20:00:00","0000-00-00 07:35:00"
"33","2013-02-02","0000-00-00 06:08:00","0000-00-00 06:30:00","0000-00-00 12:51:00","0000-00-00 14:00:00","0000-00-00 15:47:00","0000-00-00 16:45:00","0000-00-00 18:08:00","2 Min","0000-00-00 19:19:00","0000-00-00 20:00:00","0000-00-00 07:34:00"
"34","2013-02-03","0000-00-00 06:08:00","0000-00-00 06:30:00","0000-00-00 12:51:00","0000-00-00 14:00:00","0000-00-00 15:48:00","0000-00-00 16:45:00","0000-00-00 18:09:00","2 Min","0000-00-00 19:20:00","0000-00-00 20:00:00","0000-00-00 07:33:00"
"35","2013-02-04","0000-00-00 06:07:00","0000-00-00 06:30:00","0000-00-00 12:51:00","0000-00-00 14:00:00","0000-00-00 15:48:00","0000-00-00 16:45:00","0000-00-00 18:09:00","2 Min","0000-00-00 19:20:00","0000-00-00 20:00:00","0000-00-00 07:33:00"
"36","2013-02-05","0000-00-00 06:06:00","0000-00-00 06:30:00","0000-00-00 12:52:00","0000-00-00 14:00:00","0000-00-00 15:48:00","0000-00-00 16:45:00","0000-00-00 18:10:00","2 Min","0000-00-00 19:21:00","0000-00-00 20:00:00","0000-00-00 07:32:00"
"37","2013-02-06","0000-00-00 06:05:00","0000-00-00 06:30:00","0000-00-00 12:52:00","0000-00-00 14:00:00","0000-00-00 15:50:00","0000-00-00 16:45:00","0000-00-00 18:12:00","2 Min","0000-00-00 19:23:00","0000-00-00 20:00:00","0000-00-00 07:31:00"
"38","2013-02-07","0000-00-00 06:05:00","0000-00-00 06:30:00","0000-00-00 12:52:00","0000-00-00 14:00:00","0000-00-00 15:51:00","0000-00-00 16:45:00","0000-00-00 18:13:00","2 Min","0000-00-00 19:24:00","0000-00-00 20:00:00","0000-00-00 07:30:00"
